"Symbol","piotroskiScore","quickRatio","currentRatio","priceToOperatingCashFlowsRatio","ebitda","ROA","ROE","debtEquityRatio","netProfitMargin","interestCoverage"
"MOH","7","1.39307506740457","1.42812544345111","7.80386031146767","1.126e+09","0.0539765746580392","0.250570342205323","3.64220532319392","2.37297900687768","8.5"
"TOU.TO","7","0.620739143303352","0.65640581028725","4.8529772023208","3403141000","0.132486180930236","0.174558810554772","0.317562400313208","39.5577903615239","67.7222662548854"
"CNP","5","0.670165616981572","1.71565197107534","766.1500275","3.441e+09","0.0394384139706468","0.157833244822092","3.00201805629315","17.7921455938697","2.5765595463138"
"STX","7","0.810338925025676","1.29373502225265","13.0822881205412","1.965e+09","0.151469740634006","2.0824088748019","12.7480190174326","12.302218893362","6.78181818181818"
"FLT","7","0.619099389259288","1.03764117797921","15.8370878710376","1506709000","0.0628062846010934","0.292856644503206","3.66285573749904","29.6250956334676","10.9278923530188"
"VIV","6","0.647802662629681","0.937708713655995","4.81980237860076","18921331000","0.0538542675335454","0.0889780875924921","0.652201239893723","14.1462085254241","7.66894913419913"
"AKAM","5","2.21944831408215","2.42988026687215","12.9766363630538","1337177000","0.0800673525032889","0.143849886556642","0.796611003851202","18.8269290941381","10.8271304540176"
"TRU","4","1.77501842299189","1.93957258658806","23.4138745015465","2007600000","0.109782350613376","0.354929505386249","2.20792712571326","46.8583203837579","5.75222024866785"
"PODD","3","4.16346153846154","5.81206293706294","-233.193872393539","136100000","0.00819992190550566","0.0301995326262808","2.68290490742405","1.52894066254095","2.16494845360825"
"PFG","5","1031.69047619048","2750.21428571429","5.96054724363117","2312100000","0.00561483529685167","0.106450769786053","17.9553312507001","11.9935215632384",NA
"GIB","8","0.776804719477362","1.25283898501159","13.2606810831354","2451697000","0.0911437378324682","0.195967153681699","1.15008906088432","11.2896459929678","18.8939642216512"
"SSNC","8","1.05437407493963","1.10415206045026","13.9390538838349","1905400000","0.0461547337448797","0.129756382392059","1.80195932137412","15.8384478321125","6.16220238095238"
"HOLX","7","1.59255351220983","2.38822731383781","8.05529914304583","2863400000","0.209811769190238","0.443630588346845","1.11442184611008","33.22798856595","26.4989316239316"
"GNRC","4","0.600225623687719","1.59914595205324","40.6618326540291","793343000","0.109351385261328","0.240942390686674","1.17701400413954","14.2725645833868","21.8837738597396"
"WSP.TO","7","1.08798628511143","1.14487669787683","18.1284641807848","1243700000","0.0420962810211193","0.101532854539608","1.41176975024118","4.6074072632818","9.3560794044665"
"WMG","6","0.424761904761905","0.601904761904762","40.6576602718901","8.81e+08","0.0421578144501456","9.80645161290323","231.129032258065","5.73476702508961","4.99180327868852"
