"Symbol","freeCashFlowGrowth","revGrowth1Yr","revGrowth2Yr","netIncomeGrowth1Yr","netIncomeGrowth2Yr","debt_repayment","employeeGrowth"
"SSNC","0.198553278308448","0.0721635319738666","0.179379885171253","-0.03672709125","0.0596001975","-889900000","comingSoon"
"HOLX","1.92853282896514","-0.0273722852120803","0.107971875432772","-0.120395755810847","-0.00843406518835159","-1369700000","comingSoon"
"GNRC","-0.290385363037664","0.115155087359895","0.226670596095884","0.0346279959204488","0.138090794387617","-347669000","comingSoon"
"WSP.TO","-0.0902131782945736","-0.276750714945861","-0.260657121051454","-0.358988456503378","-0.333091693412162","-538200000","comingSoon"
"WMG","-0.810650887573965","0.0596305602716469","0.165593616298812","0.0382154605263158","0.142037006578947","-8.49e+08","comingSoon"
"JBHT","-0.280965564616433","-0.0481688385117332","0.0470142775056043","-0.0975644211533558","-0.00732086497740554","0","comingSoon"
"HEI","0.0562321167316183","0.116407297706683","0.228048027477351","0.0684413352179344","0.175285464466505","-5.05e+08","comingSoon"
"MGA","-0.26488513830286","0.177140285966558","0.294854314524585","0.236088938573316","0.359697831571995","-1.21e+08","comingSoon"
"TER","0.412212445793455","-0.0972099970266395","-0.00693099724241746","-0.194190312530493","-0.113609346247594","-342990000","comingSoon"
"MRO","15.8692307692308","-0.190969217282628","-0.110066139260846","-1.37617936575053","-1.41379730338266","-1.4e+09","comingSoon"
"PWR","-0.77125284807278","0.0480861908814593","0.152894809969605","0.148091288100157","0.262900412794574","-4269113000","comingSoon"
"YUMC","-0.603231597845601","0.129925789607226","0.242918368517203","0.181345044444444","0.299479547474747","0","comingSoon"
"WAT","-0.0632802856389424","-0.0145624820074418","0.083981269791814","-0.135114069132545","-0.0486254793654551","0","comingSoon"
"CFG","308.285714285714","0.0882711693997292","0.197098286294569","-0.101997934454506","-0.0121977283311772","-1.506e+09","comingSoon"
"CHKP","0.0222475256196899","0.064159128669005","0.170575041535905","0.0586089749877391","0.164469871260422","0","comingSoon"
"TS","-1.07751182099952",NA,NA,NA,NA,"-1169526000","comingSoon"
"AGR","0.0522438044206296","0.0794884260108976","0.187437268425581","-0.15552858698727","-0.0710814483734088","-3.31e+09","comingSoon"
"TYL","-0.03209204495703","0.0428857479838748","0.147174322845065","0.107198577958354","0.21791842460578","-1.45e+08","comingSoon"
"NTAP","0.251068376068376","0.677214380745125","0.759182798920613","0.198946919178082","0.288108310958904","-6.89e+08","comingSoon"
"TRMB","0.144993498049415","0.0246418758711158","0.127106063239594","0.0627703978079968","0.169047434544347","-449900000","comingSoon"
"BR","0.0798798798798799","0.245807918577408","0.370388710375073","0.0813846228310502","0.189523084931507","-2230700000","comingSoon"
"MGM","1.50051881865842","0.232709752338293","0.225980556789468","0.972548044038043","0.809637622073232","-2096217000","comingSoon"
"NUAN","-0.0110831129991152","0.133307324907386","0.246638057398125","1.04363099603382","1.24799408815386","-230076000","comingSoon"
"GPC","-0.468318525834392","0.0262542623384318","0.163233634067124","-0.0536110582004695","0.0761989997663525","-1053423000","comingSoon"
"WRB","0.34135754174018","0.0204379600621905","0.122481756036768","-0.13998119883813","-0.0539793210691547","-504952000","comingSoon"
"SEDG","-0.323235800344234","0.0421116772283227","0.146322844492875","-0.0191148962582018","0.0789736064314004","-16073000","comingSoon"
"CPT","0.615616039621166","0.0918797465863928","0.201067721245032","0.278727722625672","0.40660048962347","0","comingSoon"
"INCY","2.82218617979473","0.0271413353193134","0.129855468717298","0.563164322287712","0.719480752829753","-2417000","comingSoon"
"WAB","0.456820639579793","0.163673477371516","0.280040824980823","-0.107496161290323","-0.0182457795698925","-5.552e+09","comingSoon"
"TRGP","2266.08701134931","-0.0505352247224156","0.0740478433373845","12.8014175561798","14.6612267275281","-3429500000","comingSoon"
"CLX","-0.268575851393189","0.0734267810924942","0.180769459201744","-0.589431874647887","-0.548375063380282","0","comingSoon"
